Quest/Stage Id,Name
100000,Prologue - Game Intro
100001,Chapter 1 - Forest & Quakadile Fight
100002,Prologue - Repressed Memory
100003,Chapter 1 - Our Lives Are Linked
100005,Prologue - Ruffled Wings
100006,Prologue - Bahamut Fight
101000,Chapter 1 - Folka
101001,Chapter 2 - Skyboat Cutscene + The Hills
101002,Chapter 2 - Zeghard Fortress
101003,Chapter 3 - Tampeal Mines
101004,Chapter 3 - Furycane Boss Fight
101005,Chapter 3 - Mysterious Swordman/Id Fight
101F00,Chapter 2 - Skyboat Travel (Chapter 2 Start)
102000,Chapter 4 - Initial Cutscene + Folca Church Cutscene
102002,Chapter 4 - Ship Chase
102F00,Chapter 4 - Grandcypher (Chapter 4 Start)
103001,Chapter 5 - Mt. Neigelith
103F00,Chapter 5 - Grandcypher (Leutagne Airspace)
104000,Chapter 6 - Seedhollow
104001,Chapter 6 - Dahli Island
104003,Chapter 6 - Id Memory Cutscene after Skyboat Travel
104F00,Chapter 6 - Grandcypher (Route to Seedhollow)
104F01,Chapter 6 - Skyboat Travel with Zathba (Route to Dahli Island)
105001,Chapter 7 - Phondam Isles
105002,Chapter 7 - Grandcypher Outro Cutscene + Avia Fight
105F00,Chapter 7 - Grandcypher (Intro)
105F01,Chapter 7 - Grandcypher (Outro)
106000,Chapter 8 - Seedhollow
106001,Chapter 8 - Seedhollow Castle
106002,Chapter 8 - Angra Mainyu
106F00,Chapter 8 - Grandcypher (Route to Seedhollow)
107000,Chapter 9 - Seedhollow
707001,Chapter 9 - Pillar of Vayoi
107002,Chapter 9 - Pillar of Vayoi (Intro Cutscene)
107F00,Chapter 9 - Grandcypher
108000,Final Chapter - Bahamut Versa
108001,Final Chapter - Credit Roll
108002,Final Chapter - After Bahamut Versa (on Grandcypher)
108F00,Final Chapter - Grandcypher
200000,A Lingering Regret
200001,Save the Crustaceans
200002,Miracle Mushrooms
200003,Annoying Neighbors
200100,Results Guaranteed
200101,Pebbles of Perfection
200102,Infested Skyways
200103,Soaring Dream
200104,Long Time No Fix
200200,Memories on Ice
200201,Vulnerable Nights
200400,The Gourmet Way
200401,Fresh Material
201002,A Curious Charm
201005,Propeller Problems
201006,Support Our Troops
201007,On the Tip of My Chip
201102,En-Raptored
202002,Hands-On Research
202005,Forget Me Not
202006,Everything in Moderation
202007,Collecting Godstones
202010,Cleansing the Dead
203006,Securing the Homestead
203007,Stuffed Stocks
203011,Sculpting Fire
203111,Sculpting Ice
203211,Sculpting Earth
203311,Sculpting Wind
204005,An Eyeful
204006,Glory Days
204007,Help Your Fellow Farer
204011,Dubious Literature
204012,Oddly Specific Request
204013,Avenge the Dead
204106,Futureproof Trading
204107,Presentproof Investing
204113,Frozen Menace
205000,How Does Siero Do It?
205001,Astral Research Notes
205002,Be Legendary
210220,The Forbidden Spirit
210221,Icey Interior
210223,To Whirl Again
210225,Trowel and Error
210227,Family Reporting
210228,Wolves at the Door
210229,Aid from Afar
210420,Bug Hunt
210421,A Barrold of My Own
210423,Red-Hot Seller
210425,Out of Serpentine Spite
210427,Violent Requiem
210428,Wrath of the Sword Veil
211021,"Eye for an Eye, Quake for a Dile"
211023,Loathsome Wings
211025,Smith Smarter
211027,Cooling Bones
211030,Magimorphosis
211121,Sensitive Technology
211123,Soul in the Machine
211125,Goopy Research
211130,Hidden Lesson
211230,Into the Unknown
211330,Classroom Science
211430,Expecting the Expected
211530,Windy Memories
212021,First Step is the Hardest
212024,"Wreck, Reduce, Recycle"
212026,Iced Water Supplies
212030,Fiery Commerce
212031,Nightmare of a Shadow
212130,Light and Shadow
212230,Study with Care
212330,Mother Water
212430,From the Soil
212530,As the Wind Blows
212630,Squishy Lies the Crown
213021,"Try, Try Again"
213022,Strong as Hell
213024,A Vision of Gates
213026,A Vision of Vitality
213032,A Vision of Sequestration
213033,A Vision of Fortification
213034,A Vision of Dread
214024,Degoop the Farm
214026,An Eye for Business
214027,Dynamic Design
214030,Within the Flickering Flame
214033,Symbol of the Hordes
214034,Regret and Repentance
214035,In Defense of the City
